1-2yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,2,na,Moving Backward,Slight Injury
Above 10yr,Bus,No defect,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,na,Overtaking,Slight Injury
1-2yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,3,Changing lane to the left,Serious Injury
5-10yr,Bus,No defect,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,3,Changing lane to the right,Slight Injury
2-5yr,,No defect,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,na,Overtaking,Slight Injury
,,,,Daylight,Normal,Vehicle with vehicle collision,1,1,3,Overloading,Slight Injury
2-5yr,Automobile,No defect,,Daylight,Normal,Vehicle with vehicle collision,1,1,3,Other,Slight Injury
2-5yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,na,No priority to vehicle,Slight Injury
Above 10yr,Lorry,No defect,Earth roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,3,Changing lane to the right,Slight Injury
1-2yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,3,Moving Backward,Serious Injury
1-2yr,Minibus,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,1,na,Changing lane to the left,Serious Injury
No Licence,Automobile,No defect,Earth roads,Daylight,Normal,Collision with animals,2,1,3,No priority to pedestrian,Serious Injury
1-2yr,Bus,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,2,na,No distancing,Slight Injury
5-10yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,2,na,No priority to vehicle,Slight Injury
Above 10yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,2,3,No distancing,Serious Injury
Above 10yr,Lorry,No defect,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,na,No distancing,Serious Injury
5-10yr,Minibus,No defect,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,na,Moving Backward,Slight Injury
2-5yr,Minibus,No defect,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,na,Changing lane to the right,Serious Injury
2-5yr,,No defect,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,na,No priority to pedestrian,Slight Injury
Below 1yr,Long lorry,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,1,3,Moving Backward,Serious Injury
2-5yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,1,na,Getting off the vehicle improperly,Slight Injury
2-5yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Collision with animals,1,1,3,Overtaking,Serious Injury
5-10yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Other,2,1,3,Overloading,Serious Injury
Above 10yr,Minibus,,Asphalt roads,Daylight,Normal,Rollover,2,1,3,Changing lane to the right,Serious Injury
,,,Asphalt roads with some distress,Daylight,Normal,Collision with animals,2,3,na,Improper parking,Slight Injury
2-5yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Rollover,2,3,3,Other,Slight Injury
5-10yr,,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,3,3,Changing lane to the left,Slight Injury
2-5yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with animals,1,1,na,Changing lane to the right,Slight Injury
,,,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,3,No priority to pedestrian,Slight Injury
1-2yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Fall from vehicles,2,1,2,Driving at high speed,Slight Injury
2-5yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,1,1,na,Changing lane to the left,Slight Injury
Above 10yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,1,1,3,No priority to vehicle,Slight Injury
Below 1yr,Lorry,No defect,Asphalt roads,Daylight,Normal,Rollover,2,1,3,Changing lane to the right,Slight Injury
2-5yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,1,na,No distancing,Slight Injury
Below 1yr,Automobile,No defect,Asphalt roads,Daylight,Normal,Collision with animals,2,1,3,No priority to pedestrian,Slight Injury
